Order_ID;Order_Date;Year;Month;Quarter;Country;City;Region;Product;Product Line;Category;Customer Segment;Sales Channel;Retailer;Units Sold;Unit Price;Gross Revenue;Discount %;Discount Amount;Net Revenue;Cost;Profit;Profit Margin;Order Priority;Payment Method
100011;22/07/24;2024;Jul;Q3;Qatar;Al Wakrah;Middle East;Nike Metcon 9;Shoes;Training;Women;Mobile App;Nike App;12;$162.50;$1,950.00;0%;$0.00;$1,950.00;$1,106.65;$843.35;43.30%;High;Cash
100012;10/11/24;2024;Nov;Q4;France;Paris;Europe;Nike Tech Fleece Hoodie;Clothing;Sportswear;Women;Outlet;Nike App;17;$127.97;$2,175.49;15%;$326.32;$1,849.17;$1,171.65;$677.52;36.60%;Standard;Credit Card
100013;06/11/25;2025;Nov;Q4;China;Shenzhen;Asia Pacific;Nike Metcon 9;Shoes;Training;Men;Mobile App;Nike App;14;$169.60;$2,374.40;15%;$356.16;$2,018.24;$1,228.42;$789.82;39.10%;Standard;Bank Transfer
100014;27/10/25;2025;Oct;Q4;Italy;Milan;Europe;Training Gloves;Accessories;Training;Men;Online;Nike App;11;$34.57;$380.27;10%;$38.03;$342.24;$163.96;$178.28;52.10%;Standard;Credit Card
100015;08/10/25;2025;Oct;Q4;UK;Manchester;Europe;Air Jordan 1;Shoes;Basketball;Kids;Mobile App;Nike App;13;$221.30;$2,876.90;0%;$0.00;$2,876.90;$1,669.52;$1,207.38;42.00%;Express;Apple Pay
100016;29/04/25;2025;Apr;Q2;France;Nice;Europe;Heritage Backpack;Accessories;Lifestyle;Men;Online;Nike Outlet;11;$54.50;$599.50;5%;$29.98;$569.52;$299.32;$270.20;47.40%;Standard;PayPal
100017;23/10/25;2025;Oct;Q4;UAE;Dubai;Middle East;Swoosh Sports Bra;Clothing;Training;Women;Mobile App;Nike App;12;$56.50;$678.00;0%;$0.00;$678.00;$290.52;$387.48;57.20%;Standard;Cash
100018;18/03/24;2024;Mar;Q1;South Korea;Seoul;Asia Pacific;Air Force 1;Shoes;Lifestyle;Women;Store;Nike Store;12;$155.93;$1,871.16;20%;$374.23;$1,496.93;$1,091.23;$405.70;27.10%;Standard;Apple Pay
100019;06/08/24;2024;Aug;Q3;Netherlands;Amsterdam;Europe;Nike Metcon 9;Shoes;Training;Men;Outlet;Amazon;17;$161.21;$2,740.57;10%;$274.06;$2,466.51;$1,517.81;$948.70;38.50%;High;PayPal
100020;13/05/25;2025;May;Q2;Qatar;Doha;Middle East;Pro Training Leggings;Clothing;Training;Men;Online;Nike Store;6;$74.87;$449.22;0%;$0.00;$449.22;$212.00;$237.22;52.80%;Standard;Cash
100021;10/06/24;2024;Jun;Q2;UK;London;Europe;Nike Metcon 9;Shoes;Training;Men;Online;JD Sports;3;$170.60;$511.80;10%;$51.18;$460.62;$259.09;$201.53;43.80%;Standard;PayPal
100022;01/08/25;2025;Aug;Q3;India;Delhi;Asia Pacific;Dri-FIT Running Tee;Clothing;Running;Men;Mobile App;Nike App;16;$43.55;$696.80;5%;$34.84;$661.96;$325.26;$336.70;50.90%;Standard;Credit Card
100023;15/03/24;2024;Mar;Q1;USA;Miami;North America;Nike Pegasus 40;Shoes;Running;Men;Online;Amazon;13;$158.74;$2,063.62;5%;$103.18;$1,960.44;$1,099.92;$860.52;43.90%;Standard;Apple Pay
100024;05/11/24;2024;Nov;Q4;Egypt;Cairo;Middle East;Pro Training Leggings;Clothing;Training;Kids;Online;Foot Locker;21;$68.10;$1,430.10;20%;$286.02;$1,144.08;$688.45;$455.63;39.80%;Standard;Credit Card
100025;03/08/24;2024;Aug;Q3;Oman;Muscat;Middle East;Nike Blazer Mid;Shoes;Lifestyle;Women;Mobile App;Nike App;6;$148.72;$892.32;0%;$0.00;$892.32;$479.07;$413.25;46.30%;High;Credit Card
100026;07/12/24;2024;Dec;Q4;South Africa;Cape Town;Africa;Dri-FIT Running Tee;Clothing;Running;Men;Store;Nike Outlet;17;$46.45;$789.65;0%;$0.00;$789.65;$381.23;$408.42;51.70%;High;Credit Card
100027;06/02/24;2024;Feb;Q1;Italy;Naples;Europe;Nike Dunk Low;Shoes;Lifestyle;Men;Online;Sun & Sand Sports;17;$163.82;$2,784.94;20%;$556.99;$2,227.95;$1,524.18;$703.77;31.60%;Standard;Credit Card
100028;27/07/25;2025;Jul;Q3;Brazil;S?o Paulo;Latin America;Nike Tech Fleece Hoodie;Clothing;Sportswear;Women;Outlet;Foot Locker;7;$131.55;$920.85;0%;$0.00;$920.85;$481.49;$439.36;47.70%;Standard;Bank Transfer
100029;16/11/25;2025;Nov;Q4;Jordan;Amman;Middle East;Dri-FIT Running Tee;Clothing;Running;Men;Mobile App;Nike App;16;$45.64;$730.24;0%;$0.00;$730.24;$351.41;$378.83;51.90%;Standard;Cash
100030;21/08/24;2024;Aug;Q3;France;Paris;Europe;Nike Blazer Mid;Shoes;Lifestyle;Men;Online;Nike App;10;$150.31;$1,503.10;5%;$75.16;$1,427.94;$807.71;$620.23;43.40%;Standard;Bank Transfer
100031;03/07/25;2025;Jul;Q3;Spain;Madrid;Europe;Nike Pegasus 40;Shoes;Running;Women;Online;Amazon;19;$168.15;$3,194.85;15%;$479.23;$2,715.62;$1,736.83;$978.79;36.00%;Express;Credit Card
100032;13/08/25;2025;Aug;Q3;Germany;Hamburg;Europe;Air Force 1;Shoes;Lifestyle;Women;Online;JD Sports;11;$139.00;$1,529.00;0%;$0.00;$1,529.00;$871.52;$657.48;43.00%;Standard;Credit Card
100033;07/05/24;2024;May;Q2;Jordan;Amman;Middle East;Training Gloves;Accessories;Training;Men;Store;Nike Outlet;7;$33.54;$234.78;10%;$23.48;$211.30;$103.23;$108.07;51.20%;High;Credit Card
100034;05/08/25;2025;Aug;Q3;Australia;Perth;Asia Pacific;Air Max 270;Shoes;Running;Men;Online;Sun & Sand Sports;3;$162.08;$486.24;5%;$24.31;$461.93;$275.75;$186.18;40.30%;Standard;Bank Transfer
100035;22/06/24;2024;Jun;Q2;Bahrain;Manama;Middle East;Pro Training Leggings;Clothing;Training;Women;Store;Sun & Sand Sports;23;$67.69;$1,556.87;5%;$77.84;$1,479.03;$755.44;$723.59;48.90%;Standard;Credit Card
100036;01/05/25;2025;May;Q2;Egypt;Cairo;Middle East;Everyday Cushioned Socks;Accessories;Training;Men;Store;JD Sports;16;$23.40;$374.40;5%;$18.72;$355.68;$157.56;$198.12;55.70%;Standard;PayPal
100037;19/04/24;2024;Apr;Q2;South Africa;Johannesburg;Africa;Nike Tech Fleece Hoodie;Clothing;Sportswear;Men;Outlet;Retail Partner;13;$130.76;$1,699.88;5%;$84.99;$1,614.89;$895.99;$718.90;44.50%;High;Bank Transfer
100038;01/09/25;2025;Sep;Q3;Spain;Barcelona;Europe;Training Gloves;Accessories;Training;Men;Mobile App;Nike App;11;$35.32;$388.52;0%;$0.00;$388.52;$181.55;$206.97;53.30%;Standard;PayPal
100039;14/10/25;2025;Oct;Q4;Canada;Calgary;North America;Nike Tech Fleece Hoodie;Clothing;Sportswear;Men;Online;Amazon;10;$131.83;$1,318.30;0%;$0.00;$1,318.30;$639.12;$679.18;51.50%;Standard;Credit Card
100040;07/08/24;2024;Aug;Q3;Saudi Arabia;Qassim;Middle East;Heritage Backpack;Accessories;Lifestyle;Men;Store;Nike Store;14;$52.88;$740.32;5%;$37.02;$703.30;$371.48;$331.82;47.20%;Standard;PayPal
100041;12/08/25;2025;Aug;Q3;Netherlands;Rotterdam;Europe;Air Max 270;Shoes;Running;Kids;Online;Nike Outlet;17;$160.61;$2,730.37;15%;$409.56;$2,320.81;$1,616.87;$703.94;30.30%;Standard;Credit Card
100042;12/08/24;2024;Aug;Q3;Canada;Calgary;North America;Nike Cap;Accessories;Lifestyle;Men;Online;Nike Outlet;1;$29.82;$29.82;15%;$4.47;$25.35;$13.71;$11.64;45.90%;Express;Apple Pay
100043;07/02/25;2025;Feb;Q1;Turkey;Istanbul;Middle East;Air Jordan 1;Shoes;Basketball;Women;Online;Retail Partner;11;$206.95;$2,276.45;5%;$113.82;$2,162.63;$1,357.50;$805.13;37.20%;High;Credit Card
100044;07/03/25;2025;Mar;Q1;Canada;Toronto;North America;Nike Cap;Accessories;Lifestyle;Men;Store;Sun & Sand Sports;13;$27.02;$351.26;0%;$0.00;$351.26;$162.29;$188.97;53.80%;Standard;Credit Card
100045;10/09/24;2024;Sep;Q3;Germany;Berlin;Europe;Nike Dunk Low;Shoes;Lifestyle;Men;Store;Nike App;6;$158.98;$953.88;15%;$143.08;$810.80;$519.12;$291.68;36.00%;Standard;PayPal
100046;27/04/24;2024;Apr;Q2;South Africa;Cape Town;Africa;Pro Training Leggings;Clothing;Training;Men;Online;Amazon;8;$72.46;$579.68;20%;$115.94;$463.74;$266.33;$197.41;42.60%;Express;Credit Card
100047;29/08/25;2025;Aug;Q3;Oman;Muscat;Middle East;Nike Pegasus 40;Shoes;Running;Women;Online;Nike App;11;$157.80;$1,735.80;10%;$173.58;$1,562.22;$971.07;$591.15;37.80%;Standard;PayPal
100048;13/01/24;2024;Jan;Q1;Brazil;Rio de Janeiro;Latin America;Nike Pegasus 40;Shoes;Running;Men;Online;Retail Partner;3;$180.45;$541.35;5%;$27.07;$514.28;$305.60;$208.68;40.60%;Express;Credit Card
100049;05/07/25;2025;Jul;Q3;South Africa;Johannesburg;Africa;Everyday Cushioned Socks;Accessories;Training;Men;Mobile App;Nike App;11;$23.90;$262.90;0%;$0.00;$262.90;$117.55;$145.35;55.30%;Standard;Apple Pay
100050;16/09/25;2025;Sep;Q3;Bahrain;Manama;Middle East;Club Fleece Joggers;Clothing;Sportswear;Men;Mobile App;Nike App;19;$81.29;$1,544.51;0%;$0.00;$1,544.51;$781.19;$763.32;49.40%;Standard;Cash
100051;19/12/25;2025;Dec;Q4;Canada;Toronto;North America;Training Gloves;Accessories;Training;Kids;Online;Nike Outlet;9;$37.03;$333.27;10%;$33.33;$299.94;$148.66;$151.28;50.40%;High;Credit Card
100052;14/08/24;2024;Aug;Q3;Netherlands;Amsterdam;Europe;Pro Training Leggings;Clothing;Training;Women;Online;Sun & Sand Sports;10;$70.36;$703.60;15%;$105.54;$598.06;$321.39;$276.67;46.30%;High;Credit Card
100053;14/09/24;2024;Sep;Q3;France;Paris;Europe;Nike Blazer Mid;Shoes;Lifestyle;Men;Mobile App;Nike App;17;$129.37;$2,199.29;15%;$329.89;$1,869.40;$1,127.56;$741.84;39.70%;Standard;PayPal
100054;03/09/25;2025;Sep;Q3;Australia;Sydney;Asia Pacific;Nike Blazer Mid;Shoes;Lifestyle;Men;Online;Amazon;7;$124.58;$872.06;10%;$87.21;$784.85;$446.97;$337.88;43.10%;Express;Apple Pay
100055;15/12/25;2025;Dec;Q4;Qatar;Al Wakrah;Middle East;Nike Pegasus 40;Shoes;Running;Women;Store;Retail Partner;13;$189.23;$2,459.99;5%;$123.00;$2,336.99;$1,410.79;$926.20;39.60%;Standard;Credit Card
100056;18/05/25;2025;May;Q2;Saudi Arabia;Makkah;Middle East;Air Force 1;Shoes;Lifestyle;Men;Mobile App;Nike App;10;$155.38;$1,553.80;0%;$0.00;$1,553.80;$839.43;$714.37;46.00%;Standard;Apple Pay
100057;02/09/25;2025;Sep;Q3;Egypt;Cairo;Middle East;Training Gloves;Accessories;Training;Men;Mobile App;Nike App;8;$35.20;$281.60;10%;$28.16;$253.44;$118.68;$134.76;53.20%;Express;Credit Card
100058;31/07/24;2024;Jul;Q3;Kuwait;Kuwait City;Middle East;Dri-FIT Running Tee;Clothing;Running;Women;Online;Foot Locker;19;$46.37;$881.03;0%;$0.00;$881.03;$397.70;$483.33;54.90%;High;Apple Pay
100059;03/02/24;2024;Feb;Q1;France;Marseille;Europe;Pro Training Leggings;Clothing;Training;Women;Store;JD Sports;17;$73.15;$1,243.55;10%;$124.36;$1,119.19;$612.86;$506.33;45.20%;Standard;Apple Pay
100060;25/10/25;2025;Oct;Q4;Qatar;Al Wakrah;Middle East;Nike Dunk Low;Shoes;Lifestyle;Men;Online;Amazon;5;$155.85;$779.25;15%;$116.89;$662.36;$466.82;$195.54;29.50%;Standard;Apple Pay
100061;07/11/24;2024;Nov;Q4;Oman;Muscat;Middle East;Dri-FIT Running Tee;Clothing;Running;Women;Store;Nike App;9;$48.01;$432.09;10%;$43.21;$388.88;$185.37;$203.51;52.30%;Standard;PayPal
100062;12/08/25;2025;Aug;Q3;Turkey;Istanbul;Middle East;Dri-FIT Running Tee;Clothing;Running;Women;Mobile App;Nike App;3;$42.98;$128.94;10%;$12.89;$116.05;$58.46;$57.59;49.60%;Standard;Bank Transfer
100063;22/03/25;2025;Mar;Q1;Kuwait;Kuwait City;Middle East;Air Jordan 1;Shoes;Basketball;Women;Store;Sun & Sand Sports;5;$207.05;$1,035.25;10%;$103.53;$931.72;$613.37;$318.35;34.20%;Express;Cash
100064;17/07/25;2025;Jul;Q3;UK;Liverpool;Europe;Air Jordan 1;Shoes;Basketball;Men;Online;Nike Outlet;4;$229.53;$918.12;15%;$137.72;$780.40;$523.41;$256.99;32.90%;High;Apple Pay
100065;25/02/24;2024;Feb;Q1;Germany;Hamburg;Europe;Nike Cap;Accessories;Lifestyle;Women;Mobile App;Nike App;11;$30.95;$340.45;5%;$17.02;$323.43;$152.36;$171.07;52.90%;Standard;Bank Transfer
100066;15/09/25;2025;Sep;Q3;France;Lyon;Europe;Pro Training Leggings;Clothing;Training;Women;Store;Nike App;16;$67.55;$1,080.80;15%;$162.12;$918.68;$479.64;$439.04;47.80%;Express;PayPal
100067;06/06/24;2024;Jun;Q2;China;Shenzhen;Asia Pacific;Pro Training Leggings;Clothing;Training;Women;Online;Retail Partner;16;$72.12;$1,153.92;5%;$57.70;$1,096.22;$567.88;$528.34;48.20%;Standard;Cash
100068;12/03/24;2024;Mar;Q1;Canada;Calgary;North America;Club Fleece Joggers;Clothing;Sportswear;Kids;Store;Nike Store;9;$83.01;$747.09;5%;$37.35;$709.74;$368.04;$341.70;48.10%;Express;Apple Pay
100069;01/06/24;2024;Jun;Q2;South Korea;Busan;Asia Pacific;NBA Swingman Jersey;Clothing;Basketball;Men;Mobile App;Nike App;4;$120.33;$481.32;25%;$120.33;$360.99;$231.38;$129.61;35.90%;Standard;Cash
100070;24/02/25;2025;Feb;Q1;UK;Birmingham;Europe;Nike Cap;Accessories;Lifestyle;Women;Mobile App;Nike App;18;$27.92;$502.56;10%;$50.26;$452.30;$228.35;$223.95;49.50%;Express;Apple Pay
100071;07/02/24;2024;Feb;Q1;Qatar;Al Wakrah;Middle East;Nike Pegasus 40;Shoes;Running;Women;Store;Retail Partner;12;$186.01;$2,232.12;20%;$446.42;$1,785.70;$1,156.80;$628.90;35.20%;High;Credit Card
100072;30/09/25;2025;Sep;Q3;Oman;Muscat;Middle East;Air Jordan 1;Shoes;Basketball;Women;Mobile App;Nike App;10;$229.29;$2,292.90;5%;$114.64;$2,178.26;$1,363.59;$814.67;37.40%;High;PayPal
100073;08/07/25;2025;Jul;Q3;UK;London;Europe;Nike Tech Fleece Hoodie;Clothing;Sportswear;Women;Outlet;JD Sports;12;$112.76;$1,353.12;10%;$135.31;$1,217.81;$719.48;$498.33;40.90%;Standard;PayPal
100074;30/01/24;2024;Jan;Q1;UK;Birmingham;Europe;Air Force 1;Shoes;Lifestyle;Men;Online;Foot Locker;4;$135.64;$542.56;5%;$27.13;$515.43;$309.94;$205.49;39.90%;Standard;Credit Card
100075;16/09/25;2025;Sep;Q3;Netherlands;Amsterdam;Europe;Nike Cap;Accessories;Lifestyle;Kids;Online;Retail Partner;6;$29.49;$176.94;20%;$35.39;$141.55;$76.88;$64.67;45.70%;Standard;Apple Pay
100076;16/03/24;2024;Mar;Q1;South Korea;Busan;Asia Pacific;Pro Training Leggings;Clothing;Training;Women;Store;Amazon;5;$70.80;$354.00;5%;$17.70;$336.30;$175.85;$160.45;47.70%;High;Credit Card
100077;25/01/25;2025;Jan;Q1;Turkey;Ankara;Middle East;Pro Training Leggings;Clothing;Training;Kids;Online;Nike Outlet;9;$74.00;$666.00;15%;$99.90;$566.10;$293.00;$273.10;48.20%;Standard;Apple Pay
100078;20/10/24;2024;Oct;Q4;South Africa;Cape Town;Africa;NBA Swingman Jersey;Clothing;Basketball;Men;Online;Amazon;16;$116.11;$1,857.76;15%;$278.66;$1,579.10;$942.79;$636.31;40.30%;High;Apple Pay
100079;04/10/25;2025;Oct;Q4;Kuwait;Kuwait City;Middle East;Pro Training Leggings;Clothing;Training;Women;Online;Sun & Sand Sports;9;$68.53;$616.77;15%;$92.52;$524.25;$276.01;$248.24;47.40%;Standard;Apple Pay
100080;09/01/25;2025;Jan;Q1;India;Bangalore;Asia Pacific;Dri-FIT Running Tee;Clothing;Running;Women;Online;Retail Partner;7;$50.11;$350.77;5%;$17.54;$333.23;$167.81;$165.42;49.60%;High;Apple Pay
100081;18/03/24;2024;Mar;Q1;Qatar;Doha;Middle East;Swoosh Sports Bra;Clothing;Training;Kids;Mobile App;Nike App;4;$50.75;$203.00;10%;$20.30;$182.70;$90.13;$92.57;50.70%;High;PayPal
100082;21/08/25;2025;Aug;Q3;Netherlands;Rotterdam;Europe;Nike Pegasus 40;Shoes;Running;Women;Store;Sun & Sand Sports;16;$187.52;$3,000.32;5%;$150.02;$2,850.30;$1,552.48;$1,297.82;45.50%;High;Bank Transfer
100083;05/11/24;2024;Nov;Q4;Kuwait;Kuwait City;Middle East;Nike Pegasus 40;Shoes;Running;Men;Outlet;Amazon;20;$164.38;$3,287.60;10%;$328.76;$2,958.84;$1,776.23;$1,182.61;40.00%;Standard;Bank Transfer
100084;14/12/25;2025;Dec;Q4;Mexico;Guadalajara;North America;Nike Dunk Low;Shoes;Lifestyle;Kids;Store;Retail Partner;17;$156.47;$2,659.99;20%;$532.00;$2,127.99;$1,469.29;$658.70;31.00%;High;Credit Card
100085;31/03/25;2025;Mar;Q1;France;Marseille;Europe;Nike Pegasus 40;Shoes;Running;Kids;Online;Sun & Sand Sports;13;$189.32;$2,461.16;20%;$492.23;$1,968.93;$1,404.97;$563.96;28.60%;Standard;Credit Card
100086;16/10/25;2025;Oct;Q4;Egypt;Cairo;Middle East;Air Force 1;Shoes;Lifestyle;Women;Online;Foot Locker;11;$150.84;$1,659.24;0%;$0.00;$1,659.24;$965.40;$693.84;41.80%;Standard;Apple Pay
100087;26/08/24;2024;Aug;Q3;Spain;Madrid;Europe;Air Max 270;Shoes;Running;Men;Outlet;Foot Locker;1;$150.72;$150.72;15%;$22.61;$128.11;$84.54;$43.57;34.00%;Standard;PayPal
100088;25/08/25;2025;Aug;Q3;Spain;Madrid;Europe;Nike Metcon 9;Shoes;Training;Men;Online;Nike Outlet;7;$169.16;$1,184.12;15%;$177.62;$1,006.50;$635.06;$371.44;36.90%;High;Apple Pay
100089;21/04/24;2024;Apr;Q2;South Korea;Seoul;Asia Pacific;Air Force 1;Shoes;Lifestyle;Women;Mobile App;Nike App;7;$146.81;$1,027.67;0%;$0.00;$1,027.67;$610.33;$417.34;40.60%;High;Apple Pay
100090;20/04/24;2024;Apr;Q2;China;Shenzhen;Asia Pacific;Everyday Cushioned Socks;Accessories;Training;Men;Online;Foot Locker;6;$20.53;$123.18;5%;$6.16;$117.02;$53.41;$63.61;54.40%;Standard;Credit Card
100091;03/09/25;2025;Sep;Q3;India;Delhi;Asia Pacific;Everyday Cushioned Socks;Accessories;Training;Women;Store;Nike App;14;$23.62;$330.68;15%;$49.60;$281.08;$135.82;$145.26;51.70%;Standard;Credit Card
100092;13/12/24;2024;Dec;Q4;South Korea;Busan;Asia Pacific;Heritage Backpack;Accessories;Lifestyle;Women;Online;Sun & Sand Sports;12;$57.92;$695.04;5%;$34.75;$660.29;$316.82;$343.47;52.00%;Express;Credit Card
100093;28/03/24;2024;Mar;Q1;Saudi Arabia;Qassim;Middle East;Nike Pegasus 40;Shoes;Running;Women;Online;Foot Locker;3;$175.49;$526.47;5%;$26.32;$500.15;$274.60;$225.55;45.10%;Standard;PayPal
100094;09/03/25;2025;Mar;Q1;Jordan;Amman;Middle East;Pro Training Leggings;Clothing;Training;Women;Online;JD Sports;7;$66.57;$465.99;10%;$46.60;$419.39;$227.25;$192.14;45.80%;Standard;Apple Pay
100095;27/04/24;2024;Apr;Q2;South Africa;Johannesburg;Africa;Nike Tech Fleece Hoodie;Clothing;Sportswear;Women;Mobile App;Nike App;19;$125.13;$2,377.47;10%;$237.75;$2,139.72;$1,133.36;$1,006.36;47.00%;Express;Cash
100096;30/09/24;2024;Sep;Q3;USA;Los Angeles;North America;Dri-FIT Running Tee;Clothing;Running;Women;Online;Sun & Sand Sports;8;$44.56;$356.48;0%;$0.00;$356.48;$155.38;$201.10;56.40%;Standard;Credit Card
100097;10/10/25;2025;Oct;Q4;USA;New York;North America;Training Gloves;Accessories;Training;Men;Store;Sun & Sand Sports;12;$34.47;$413.64;20%;$82.73;$330.91;$187.01;$143.90;43.50%;High;Credit Card
100098;24/09/25;2025;Sep;Q3;UK;London;Europe;Dri-FIT Running Tee;Clothing;Running;Men;Store;Retail Partner;13;$45.13;$586.69;0%;$0.00;$586.69;$268.39;$318.30;54.30%;Standard;Credit Card
100099;25/11/25;2025;Nov;Q4;Bahrain;Manama;Middle East;Training Gloves;Accessories;Training;Women;Online;Nike Outlet;19;$33.63;$638.97;20%;$127.79;$511.18;$295.14;$216.04;42.30%;High;Credit Card
100100;02/05/24;2024;May;Q2;USA;Miami;North America;Heritage Backpack;Accessories;Lifestyle;Men;Store;JD Sports;9;$56.10;$504.90;15%;$75.73;$429.17;$250.31;$178.86;41.70%;Standard;Cash
100101;13/02/24;2024;Feb;Q1;Brazil;S?o Paulo;Latin America;Everyday Cushioned Socks;Accessories;Training;Kids;Mobile App;Nike App;4;$23.36;$93.44;5%;$4.67;$88.77;$37.87;$50.90;57.30%;Standard;Credit Card
100102;24/09/25;2025;Sep;Q3;South Korea;Busan;Asia Pacific;Air Jordan 1;Shoes;Basketball;Men;Online;Nike Outlet;7;$217.93;$1,525.51;10%;$152.55;$1,372.96;$916.63;$456.33;33.20%;Standard;Credit Card
100103;07/12/24;2024;Dec;Q4;South Africa;Cape Town;Africa;Air Jordan 1;Shoes;Basketball;Women;Online;JD Sports;21;$223.75;$4,698.75;15%;$704.81;$3,993.94;$2,977.00;$1,016.94;25.50%;Standard;Credit Card
100104;21/07/24;2024;Jul;Q3;Japan;Osaka;Asia Pacific;Air Jordan 1;Shoes;Basketball;Men;Mobile App;Nike App;10;$213.95;$2,139.50;15%;$320.93;$1,818.57;$1,346.32;$472.25;26.00%;Standard;Bank Transfer
100105;01/08/25;2025;Aug;Q3;Kuwait;Kuwait City;Middle East;Club Fleece Joggers;Clothing;Sportswear;Men;Online;Retail Partner;3;$88.25;$264.75;5%;$13.24;$251.51;$121.95;$129.56;51.50%;Standard;Credit Card
100106;12/01/25;2025;Jan;Q1;Australia;Sydney;Asia Pacific;Air Jordan 1;Shoes;Basketball;Women;Store;Retail Partner;3;$217.57;$652.71;20%;$130.54;$522.17;$409.66;$112.51;21.60%;Standard;Bank Transfer
100107;08/08/25;2025;Aug;Q3;Kuwait;Kuwait City;Middle East;Club Fleece Joggers;Clothing;Sportswear;Women;Store;Nike Store;1;$92.44;$92.44;25%;$23.11;$69.33;$42.64;$26.69;38.50%;Standard;Credit Card
100108;25/12/25;2025;Dec;Q4;South Korea;Busan;Asia Pacific;Training Gloves;Accessories;Training;Women;Online;Sun & Sand Sports;20;$38.63;$772.60;5%;$38.63;$733.97;$357.17;$376.80;51.30%;High;Credit Card
100109;08/10/25;2025;Oct;Q4;Kuwait;Kuwait City;Middle East;Air Jordan 1;Shoes;Basketball;Men;Store;Nike Outlet;8;$220.78;$1,766.24;20%;$353.25;$1,412.99;$1,127.07;$285.92;20.20%;Standard;Apple Pay
100110;24/05/24;2024;May;Q2;Italy;Milan;Europe;Swoosh Sports Bra;Clothing;Training;Men;Mobile App;Nike App;17;$51.53;$876.01;10%;$87.60;$788.41;$398.42;$389.99;49.50%;Standard;Credit Card
100111;20/12/25;2025;Dec;Q4;Jordan;Amman;Middle East;Heritage Backpack;Accessories;Lifestyle;Women;Online;Amazon;19;$61.02;$1,159.38;10%;$115.94;$1,043.44;$533.71;$509.73;48.90%;Standard;Credit Card
100112;13/04/24;2024;Apr;Q2;India;Bangalore;Asia Pacific;Training Gloves;Accessories;Training;Men;Online;Foot Locker;13;$36.38;$472.94;0%;$0.00;$472.94;$202.58;$270.36;57.20%;High;Apple Pay
100113;18/06/24;2024;Jun;Q2;Jordan;Amman;Middle East;Air Force 1;Shoes;Lifestyle;Men;Store;JD Sports;19;$149.87;$2,847.53;15%;$427.13;$2,420.40;$1,535.48;$884.92;36.60%;Standard;Bank Transfer
100114;25/04/25;2025;Apr;Q2;Germany;Hamburg;Europe;Everyday Cushioned Socks;Accessories;Training;Women;Online;Nike Outlet;8;$22.45;$179.60;5%;$8.98;$170.62;$73.25;$97.37;57.10%;Standard;Apple Pay
